"x"
80
78
57
86
97
55
78
57
53
67
95
89
71
59
105
92
64
89
70
86
63
60
84
60
77
96
70
56
55
61
215
217
101
81
68
70
105
87
102
107
80
68
107
101
71
110
118
98
69
86
91
97
82
119
70
73
80
89
80
125
109
77
80
79
82
79
91
87
71
76
89
101
183
181
176
114
137
127
126
115
172
117
108
103
101
85
92
128
132
100
83
88
87
95
133
135
106
90
110
103
112
147
148
108
99
120
101
115
139
130
119
102
155
160
135
126
82
74
77
82
71
71
96
121
67
67
81
67
112
161
104
88
121
125
108
95
34
62.1117199389342
119.411237266997
119.411237266997
119.411237266997
119.411237266997
61
155
143
78
82
97
83
96
96
115
80
